,Product Reviewed,Sentence,Score
0,Apple AirPods with Charging Case,"We bought a brand new set of AirPods for 159. After using them for a week, I was listening to them and the right air pod went dead. I figured, maybe I just need to charge them. So when I got home I charged them, and the next day I went to use them again and the right air bud was still dead. So I did some research, tried to reset them, and then I couldnt reconnect them to my phone at all. Once I contacted Apple, they tried to give us the run around. They wanted us to let them fully die, which makes sense, so we did that. Then, when they still didnt work we wanted to exchange the faulty pair for a new set (BECAUSE WE PAID 159 DOLLARS AND ONLY USED THEM FOR A WEEK). Keep in mind, they were taken care of, not dropped, no water damage, they were expensive so they were treated delicately. Apple wanted a 180 deposit to get a new set, which is MORE THAN WHAT I ORIGINALLY PAID FOR. I decided to contact Amazon, and they suggested contacting Apple, but once I explained what was going, on Amazon offered to make things right and send out a replacement. Never had an issue with Amazon customer service, but Apple was extremely disappointing. I wont purchase these again.","[('First pers plural', 0.032325493699025404), ('Total function words', 0.31475411575015133), ('Prepositions', 0.054465100510835814), ('Causation', 0.02654867256637168), ('Comparisons', 0.017699115044247787), ('Total pronouns', 0.03982300884955752), ('First pers singular', 0.05752212389380531), ('Hear', 0.004424778761061947), ('Conjunctions', 0.05752212389380531), ('Motion', 0.015396594352023887), ('Time', 0.008849557522123894), ('Tentative', 0.004424778761061947), ('Interrogatives', 0.017699115044247787), ('Past focus', 0.01327433628318584), ('Differentiation', 0.004424778761061947), ('Ingestion', 0.017699115044247787), ('Third pers plural', 0.035398230088495575), ('Articles', 0.01327433628318584), ('Space', 0.004424778761061947), ('Negations', 0.008849557522123894), ('Present focus', 0.004424778761061947), ('Auxiliary verbs', 0.004424778761061947), ('Impersonal pronouns', 0.004424778761061947)]"
1,Apple AirPods with Charging Case,"These AirPods are amazing they automatically play audio as soon as you put them in your ears and pause when you take them out. A simple double-tap during music listening will skip forward. To adjust the volume, change the song, make a call, or even get directions, just say Hey Siri to activate your favorite personal assistant. Plus, when youre on a call or talking to Siri, an additional accelerometer works with dual beamforming microphones to filter out background noise and ensure that your voice is transmitted with clarity and consistency. Additionally, they deliver five hours of listening time on a single charge, and theyre made to keep up with you thanks to a charging case that holds multiple additional charges for more than 24 hours of listening time. Just 15 minutes in the case gives you three hours of listening to time or up to two hours of talk time. I would highly recommend it to anyone looking to buy","[('Impersonal pronouns', 0.006211180124223602), ('Total function words', 0.3710216546676471), ('Present focus', 0.012422360248447204), ('Third pers plural', 0.018633540372670808), ('Prepositions', 0.0610930502120442), ('Future focus', 0.006211180124223602), ('Second person', 0.048576977060678386), ('Total pronouns', 0.012422360248447204), ('Space', 0.012422360248447204), ('Conjunctions', 0.024844720496894408), ('Interrogatives', 0.018633540372670808), ('Reward', 0.006211180124223602), ('Hear', 0.024844720496894408), ('Auxiliary verbs', 0.006211180124223602), ('Time', 0.006211180124223602), ('Social processes', 0.011201012732048913), ('Articles', 0.006211180124223602), ('Quantifiers', 0.006211180124223602), ('Causation', 0.006211180124223602), ('Comparisons', 0.006211180124223602), ('Numbers', 0.006211180124223602), ('First pers singular', 0.006211180124223602), ('Discrepancy', 0.006211180124223602), ('Perceptual processes', 0.00463273943809684)]"
2,NutriBullet,"Very loud! I didn't think noise would ever be an issue but this is WAY louder than any blender I’ve owned in the past. The base is also very heavy and suctions to surfaces, so not ideal if you are constantly getting out/putting away (I personally do not like appliances sitting out on the counter when not in use). The smaller sized cups are so tall with just a tiny blade at the bottom, I can never get it to blend my ingredients - so basically they are useless. Sadly will be throwing this away and getting something else ASAP.","[('Total function words', 0.361022922058207), ('First pers singular', 0.03), ('Insight', 0.01), ('Discrepancy', 0.01), ('Articles', 0.01), ('Conjunctions', 0.07), ('Present focus', 0.05), ('Third pers plural', 0.02), ('Space', 0.02), ('Prepositions', 0.06), ('Negations', 0.04), ('Second person', 0.01), ('Interrogatives', 0.01), ('First pers plural', 0.004668033812497192), ('Sadness', 0.0071390479439136225), ('Auxiliary verbs', 0.01)]"
3,NutriBullet,"This is my third NB purchase and by far the most impressive product. The first two were 600 and 900 watts, which lasted about 3 years each when the motors burned out. I assume this was because of filling too close to the lines. This model has several improvements, including multiple speeds and functions, an actual blender, plus the 32 and 24 oz cups for smoothies; it is quieter and more high tech. The old style cup had rubber gaskets that were inset and fouled if not very carefully cleaned by removing them. The new cups have eliminated this problem. I expect to enjoy this NB more and for it to last longer than my first two.","[('Total function words', 0.32572424341974016), ('Present focus', 0.017094017094017096), ('Conjunctions', 0.06837606837606838), ('Prepositions', 0.07692307692307693), ('Quantifiers', 0.02564102564102564), ('Numbers', 0.017094017094017096), ('Articles', 0.017094017094017096), ('Interrogatives', 0.008547008547008548), ('Motion', 0.010243483491488658), ('First pers singular', 0.017094017094017096), ('Causation', 0.02564102564102564), ('Auxiliary verbs', 0.02564102564102564), ('Affiliation', 0.006891297399653198), ('Comparisons', 0.017094017094017096), ('Negations', 0.008547008547008548), ('Total pronouns', 0.008547008547008548), ('Common adjectives', 0.008547008547008548), ('Third pers plural', 0.008547008547008548)]"
4,CLIF BAR - Energy Bars,Tastes terrible and super sweet,"[('Total function words', 0.3084179131240047), ('Conjunctions', 0.2), ('Positive emotion', 0.2)]"
5,CLIF BAR - Energy Bars,"shipped fast, product was in perfect order and shape. flavor GREAT price GOOD Popular with work out crew lots of flavors the guys loved flavors the guys loved Low sugar high protein","[('Total function words', 0.36854884863779364), ('Space', 0.03125), ('Conjunctions', 0.03125), ('Positive emotion', 0.09375), ('Prepositions', 0.0625), ('Male references', 0.0625)]"
6,Charmin Ultra Soft Cushiony Touch Toilet Paper,Rolls are way too narrow and not worth the cost. Basucally Family Mega...translates into better have child size hands. Never buy again!!,"[('Total function words', 0.26911576188186204), ('Present focus', 0.045454545454545456), ('Conjunctions', 0.045454545454545456), ('Negations', 0.09090909090909091), ('Prepositions', 0.045454545454545456), ('Space', 0.045454545454545456), ('Achievement', 0.045454545454545456), ('Auxiliary verbs', 0.045454545454545456), ('Body', 0.045454545454545456)]"
7,Charmin Ultra Soft Cushiony Touch Toilet Paper,"I've been using this toilet paper for several years now. I order a case each month at the much-cheaper Amazon Subscribe & Save price. This paper is thick, very absorbent, doesnt contain any scents or dyed that cause any irritation for me or my family. One case of 18 huge rolls lasts our family with 2 bathrooms for 1 whole month. I've tried most all other brands and this one lasts the longest of any of them. I pray that Amazon never stops carrying this product.","[('Total function words', 0.40842370000446765), ('First pers plural', 0.016221099412348516), ('Causation', 0.03488372093023256), ('Quantifiers', 0.011627906976744186), ('Present focus', 0.023255813953488372), ('First pers singular', 0.03488372093023256), ('Prepositions', 0.03488372093023256), ('Cognitive processes', 0.011627906976744186), ('Conjunctions', 0.011627906976744186), ('Total pronouns', 0.011627906976744186), ('Negations', 0.011627906976744186), ('Common verbs', 0.011627906976744186)]"
8,Pantene Moisturizing Shampoo and Conditioner,Never been a fan of pantene but read some good reviews and decided to try this shampoo and conditioner set especially because it said it was sulfate free... At first it made my hair shiny that was after the first wash.. Then After the second wash my hair started to fall out in chunks and It makes me mad cause I was already growing it out I was left with my hair being all thinned out and i lost about 2 inches in length..please do not buy this shampoo and conditioner its crap! There are better options out there and cheaper!,"[('Negations', 0.019801980198019802), ('Total function words', 0.3987497667644932), ('Prepositions', 0.0297029702970297), ('Conjunctions', 0.06930693069306931), ('Positive emotion', 0.009900990099009901), ('Causation', 0.009900990099009901), ('Common adjectives', 0.009900990099009901), ('Comparisons', 0.0297029702970297), ('Numbers', 0.009900990099009901), ('Space', 0.02441857336725205), ('First pers singular', 0.039603960396039604), ('Cognitive processes', 0.009900990099009901), ('Present focus', 0.019801980198019802), ('Motion', 0.009900990099009901), ('Swear words', 0.009900990099009901), ('Achievement', 0.009900990099009901)]"
9,Pantene Moisturizing Shampoo and Conditioner,"My fav, go-to shampoo and conditioner for years. I occasionally add another brand but always go back to Pantene. Products 4x the price don’t work as well! I’ve used Purology, Tea Tree Paul Mitchell, Aveda, etc, always go back to this!","[('Total function words', 0.3026626173355583), ('Conjunctions', 0.04878048780487805), ('Causation', 0.024390243902439025), ('First pers singular', 0.024390243902439025), ('Prepositions', 0.0658388125898768), ('Certainty', 0.04878048780487805), ('Motion', 0.04878048780487805), ('Comparisons', 0.024390243902439025), ('First pers plural', 0.010823015738245125)]"
