Total function words,funct,"it,to,no,very"
Total pronouns, pronoun,"I,them,itself"
Personal pronouns, ppron,"I,them,her"
First pers singular,i,"I,me,mine"
First pers plural, we,"we,us,our"
Second person, you,"you,your,thou"
Third pers singular, shehe,"she,her,him"
Third pers plural, they,"they,their,they'd"
Impersonal pronouns, ipron,"it,it’s,those"
Articles, article," a,an,the  "
Prepositions, prep,"a,an,the"
Auxiliary verbs, auxverb,"am,will,have"
Common Adverbs, adverb,"very,really"
Conjunctions, conj,"and,but,whereas"
Negations, negate,"no,not,never"
Common verbs, verb,"eat,come,carry"
Common adjectives, adj,"free,happy,long"
Comparisons, compare,"greater,best,after"
Interrogatives, interrog,"how,when,what"
Numbers, interrog,"second,thousand"
Quantifiers, quant,"few,many,much"
Affective processes, affect,"happy,cried"
Positive emotion, posemo,"love,nice,sweet"
Negative emotion, negemo,"hurt,ugly,nasty"
Anxiety, anx,"worried,fearful"
Anger, anger,"hate,kill,annoyed"
Sadness, sad,"crying,grief,sad"
Social processes, social,"mate,talk,they"
Family, family,"daughter,dad,aunt"
Friends, friend,"buddy,neighbor"
Female references, female,"girl,her,mom"
Male references, male,"boy,his,dad"
Cognitive processes, cogproc,"cause,know,ought"
Insight, insight,"think,know"
Causation, cause,"because,effect"
Discrepancy, discrep,"should,would"
Tentative, tentat,"maybe,perhaps"
Certainty, certain,"always,never"
Differentiation, differ,"hasn't,but,else "
Perceptual processes, percept,"look,heard,feeling "
See, see,"view,saw,seen"
Hear, hear,"listen,hearing"
Feel, feel,"feels,touch"
Biological processes, bio,"eat,blood,pain"
Body, body,"cheek,hands,spit"
Health, health,"clinic,flu,pill"
Sexual, sexual,"horny,love,incest "
Ingestion, ingest,"dish,eat,pizza"
Affiliation, affiliation,"ally,friend,social"
Achievement, achieve,"win,success,better"
Power, power,"superior,bully"
Reward, reward,"take,prize,benefit"
Risk, risk,"danger,doubt"
Past focus, focuspast,"ago,did,talked"
Present focus, focuspresent,"today,is,now"
Future focus, focusfuture,"may,will,soon"
Relativity ,relativ,"area,bend,exit"
Motion, motion,"arrive,car,go"
Space, space,"down,in,thin"
Time, time,"end,until,season"
Work, work,"job,majors,xerox"
Leisure, leisure,"cook,chat,movie"
Home, home,"kitchen,landlord"
Money, money,"audit,cash,owe"
Religion, relig,"altar,church"
Death, death,"bury,coffin,kill"
Swear words, swear,"fuck,damn,shit"
Netspeak, netspeak,"btw,lol,thx"
Assent, assent,"agree,OK,yes"
Nonfluencies ,nonflu,"er,hm,umm"
Fillers, filler,"Imean,youknow"
