,Apple AirPods with Charging Case,NutriBullet,CLIF BAR - Energy Bars,Charmin Ultra Soft Cushiony Touch Toilet Paper,Pantene Moisturizing Shampoo and Conditioner,Acrylic Paint Set,Gatorade Thirst Quencher,180s Fleece Behind-the-Head Earmuffs,Echo Plus (2nd Gen) with Philips Hue Bulb,adidas Women's Grand Court Sneaker
Total function words,0.31475411575015133,0.361022922058207,0.3084179131240047,0.26911576188186204,0.3987497667644932,0.35958968527664015,0.36890239674963243,0.3070063152760113,0.3925471264735436,0.2760531864455037
Total pronouns,0.03982300884955752,,,,,,0.011904761904761904,0.022222222222222223,,
Personal pronouns,,,,,,,,,,
First pers singular,0.05752212389380531,0.03,,,0.039603960396039604,0.05555555555555555,0.047619047619047616,0.06666666666666667,0.043478260869565216,0.07692307692307693
First pers plural,0.032325493699025404,0.004668033812497192,,,,,,,0.0016913165987308668,0.017067063279540388
Second person,,0.01,,,,,,,0.007246376811594203,
Third pers singular,,,,,,,,,,
Third pers plural,0.035398230088495575,0.02,,,,,0.023809523809523808,0.022222222222222223,0.010869565217391304,
Impersonal pronouns,0.004424778761061947,,,,,,0.011904761904761904,0.022222222222222223,0.0036231884057971015,0.038461538461538464
Articles,0.01327433628318584,0.01,,,,,0.011904761904761904,,0.010869565217391304,
Prepositions,0.054465100510835814,0.06,,0.045454545454545456,0.0297029702970297,0.1111111111111111,0.07142857142857142,0.022222222222222223,0.0920245747549634,0.038461538461538464
Auxiliary verbs,0.004424778761061947,0.01,,0.045454545454545456,,,0.011904761904761904,0.044444444444444446,0.010869565217391304,
Common Adverbs,,,,,,,,,,
Conjunctions,0.05752212389380531,0.07,0.2,0.045454545454545456,0.06930693069306931,,0.023809523809523808,0.08888888888888889,0.06521739130434782,0.07692307692307693
Negations,0.008849557522123894,0.04,,0.09090909090909091,0.019801980198019802,0.05555555555555555,0.011904761904761904,0.022222222222222223,0.007246376811594203,
Common verbs,,,,,,,,,,
Common adjectives,,,,,0.009900990099009901,,,,,
Comparisons,0.017699115044247787,,,,0.0297029702970297,0.05555555555555555,,,,
Interrogatives,0.017699115044247787,0.01,,,,,,,0.007246376811594203,0.038461538461538464
Numbers,,,,,0.009900990099009901,,,,0.0036231884057971015,
Quantifiers,,,,,,,0.011904761904761904,,,
Affective processes,,,,,,,,,,
Positive emotion,,,0.2,,0.009900990099009901,,,0.022222222222222223,,0.038461538461538464
Negative emotion,,,,,,,,,,0.038461538461538464
Anxiety,,,,,,,,,,
Anger,,,,,,,,,,
Sadness,,0.0071390479439136225,,,,,,,,
Social processes,,,,,,,,,,
Family,,,,,,,,,,
Friends,,,,,,,,,,
Female references,,,,,,,,,,
Male references,,,,,,,,,,
Cognitive processes,,,,,0.009900990099009901,,,,0.0036231884057971015,
Insight,,0.01,,,,,,,,
Causation,0.02654867256637168,,,,0.009900990099009901,,,0.022222222222222223,0.014492753623188406,
Discrepancy,,0.01,,,,,0.011904761904761904,0.044444444444444446,,
Tentative,0.004424778761061947,,,,,,,0.022222222222222223,,
Certainty,,,,,,,,,,
Differentiation,0.004424778761061947,,,,,,,,,
Perceptual processes,,,,,,,,,,
See,,,,,,,,,,
Hear,0.004424778761061947,,,,,,,,,
Feel,,,,,,,,,,
Biological processes,,,,,,,,,,
Body,,,,0.045454545454545456,,,,,,
Health,,,,,,,,,,
Sexual,,,,,,,,,,
Ingestion,0.017699115044247787,,,,,,,,,
Affiliation,,,,,,,,,,
Achievement,,,,0.045454545454545456,0.009900990099009901,,,,,
Power,,,,,,,,,,
Reward,,,,,,,,,,
Risk,,,,,,,,,,
Past focus,0.01327433628318584,,,,,0.05555555555555555,0.011904761904761904,,0.0036231884057971015,
Present focus,0.004424778761061947,0.05,,0.045454545454545456,0.019801980198019802,0.05555555555555555,0.047619047619047616,,0.010869565217391304,
Future focus,,,,,,,,,,
Relativity ,,,,,,,,,,
Motion,0.015396594352023887,,,,0.009900990099009901,,,,,0.027951054765315533
Space,0.004424778761061947,0.02,,0.045454545454545456,0.02441857336725205,,0.023809523809523808,0.022222222222222223,0.021739130434782608,0.038461538461538464
Time,0.008849557522123894,,,,,0.05555555555555555,0.011904761904761904,,,
Work,,,,,,,,,,
Leisure,,,,,,,,,,
Home,,,,,,,,,,
Money,,,,,,,,,,
Religion,,,,,,,,,,
Death,,,,,,,,,,
Swear words,,,,,0.009900990099009901,,,,,
Netspeak,,,,,,,,,,
Assent,,,,,,,,,0.001453907182975311,
Nonfluencies ,,,,,,,,,,
Fillers,,,,,,,,,,
